Benchmark,simSeconds,simTicks,simInsts,hostSeconds,hostTickRate,hostMemory,simOps,system.cpu.numCycles,system.cpu.cpi,system.cpu.ipc,system.cpu.dcache.demandMissRate::total,system.cpu.idleCycles,system.cpu.tickCycles,system.mem_ctrls.dram.rank0.totalEnergy,system.mem_ctrls.dram.rank1.totalEnergy,system.mem_ctrls.dram.rank0.averagePower,system.mem_ctrls.dram.rank0.averagePower
CCm,2.3e-05,22974500.0,59937.0,0.17,134981414.0,623184.0,59937.0,45950.0,0.766638,1.304396,0.247588,7891.0,,12711870.0,10087140.0,553.303445,553.303445
EM1,1.3e-05,13175000.0,18840.0,0.08,155597627.0,623196.0,18840.0,26351.0,1.398673,0.714963,0.243112,8679.0,,8287140.0,5691570.0,629.004934,629.004934
DPT,3.8e-05,37937500.0,106968.0,0.35,108097446.0,623228.0,106968.0,75876.0,0.709334,1.409774,0.126677,9146.0,,21242730.0,17380980.0,559.940165,559.940165
MIM2,7.6e-05,75960500.0,105232.0,0.5,150991507.0,623728.0,105232.0,151922.0,1.443686,0.692671,0.656388,8458.0,,55620435.0,53500770.0,732.228395,732.228395
CCl,3.5e-05,35137500.0,119234.0,0.3,116553880.0,623196.0,119234.0,70276.0,0.589396,1.696653,0.092373,9168.0,,18845160.0,16022280.0,536.326147,536.326147
EF,1.5e-05,15144500.0,43438.0,0.14,110195453.0,623352.0,43438.0,30290.0,0.697316,1.434071,0.245797,8447.0,,9119445.0,6448050.0,602.162171,602.162171
STL2,0.000381,380890500.0,309670.0,1.85,206052124.0,624156.0,309670.0,761782.0,2.45998,0.406507,0.978616,8617.0,,314586120.0,311434365.0,825.922726,825.922726
ML2BWst,0.000811,811417000.0,625067.0,3.71,218526957.0,624308.0,625067.0,1622835.0,2.596258,0.38517,0.905466,10401.0,,793064010.0,788474145.0,977.381556,977.381556
CRd,0.017475,17475342500.0,85974021.0,244.77,71395058.0,623336.0,85974021.0,34950686.0,0.406526,2.459866,5.3e-05,9100.0,,8137076580.0,8129569800.0,465.63188,465.63188
MMst,0.006669,6669057000.0,2979849.0,24.32,274253760.0,624680.0,2979849.0,13338115.0,4.476104,0.223409,0.273561,8953.0,,4555686240.0,4550230995.0,683.108008,683.108008
MIM,7.6e-05,75960500.0,105232.0,0.52,146507721.0,623728.0,105232.0,151922.0,1.443686,0.692671,0.656388,8458.0,,55620435.0,53500770.0,732.228395,732.228395
ED1,4.7e-05,47338500.0,14748.0,0.13,360520002.0,623200.0,14748.0,94679.0,6.419786,0.155768,0.244552,7977.0,,24642585.0,21972300.0,520.561171,520.561171
CCh,0.000667,667278500.0,1182146.0,5.31,125767725.0,623340.0,1182146.0,1334558.0,1.128928,0.885796,0.032133,8715.0,,320797890.0,311072790.0,480.755622,480.755622
CS1,9e-06,9269500.0,8294.0,0.07,133908564.0,623216.0,8294.0,18540.0,2.235351,0.447357,0.155774,8600.0,,6542610.0,4192050.0,705.821242,705.821242
CF1,1.1e-05,11488500.0,14997.0,0.09,131866523.0,623220.0,14997.0,22978.0,1.532173,0.652668,0.104655,9184.0,,7608135.0,5044050.0,662.239196,662.239196
MDyn,0.006289,6289104500.0,4282798.0,28.64,219629906.0,624512.0,4282798.0,12578210.0,2.936914,0.340493,0.999474,11723.0,,4935167385.0,4937823960.0,784.717027,784.717027
STL2b,0.000166,165674000.0,397486.0,1.4,118668041.0,624272.0,397486.0,331349.0,0.833612,1.199599,0.497345,9081.0,,119468640.0,114243690.0,721.106752,721.106752
ML2BWld,0.000769,768569500.0,788907.0,4.35,176532163.0,624280.0,788907.0,1537140.0,1.948443,0.51323,0.807865,8329.0,,694904295.0,691816800.0,904.152838,904.152838
MD,7.5e-05,74528500.0,190276.0,0.78,95878233.0,623472.0,190276.0,149058.0,0.783378,1.276523,0.084816,8448.0,,38953230.0,45383160.0,522.662203,522.662203
CRf,3.1e-05,31279000.0,165374.0,0.51,61250375.0,623212.0,165374.0,62559.0,0.378288,2.643489,0.007856,7981.0,,17569215.0,14583720.0,561.693628,561.693628
CCa,2.3e-05,22890000.0,51706.0,0.15,149668721.0,623216.0,51706.0,45781.0,0.88541,1.129421,0.246954,7702.0,,12697005.0,10054500.0,554.696592,554.696592
DP1d,0.000199,198762500.0,293966.0,1.26,157531634.0,623472.0,293966.0,397526.0,1.352286,0.739489,0.143769,8582.0,,103961910.0,101416770.0,523.045896,523.045896
CCe,2.6e-05,25699500.0,76320.0,0.23,112978017.0,623216.0,76320.0,51400.0,0.67348,1.484825,0.038851,8590.0,,14496585.0,11765910.0,564.08043,564.08043
DPTd,2e-05,19614500.0,50186.0,0.17,112743871.0,623232.0,50186.0,39230.0,0.781692,1.279276,0.094675,9888.0,,11803620.0,8796900.0,601.780316,601.780316
EI,1.7e-05,17411000.0,39347.0,0.13,139182245.0,623348.0,39347.0,34823.0,0.885023,1.129914,0.256895,8915.0,,10666830.0,7950660.0,612.6489,612.6489
DPcvt,3.4e-05,33528000.0,33229.0,0.19,174467487.0,623344.0,33229.0,67057.0,2.018026,0.495534,0.126977,8783.0,,19574850.0,15404520.0,583.835898,583.835898
EM5,1.5e-05,14816000.0,35240.0,0.12,128327030.0,623180.0,35240.0,29633.0,0.840891,1.189215,0.242013,7851.0,,8948700.0,6321810.0,603.988931,603.988931
ML2BWldst,0.000824,824260000.0,821675.0,4.94,166831878.0,624268.0,821675.0,1648521.0,2.006293,0.498432,0.70665,9257.0,,799096725.0,795900795.0,969.471678,969.471678
DP1f,0.000104,104150500.0,149953.0,0.68,152372055.0,623472.0,149953.0,208302.0,1.389115,0.719883,0.145062,8961.0,,53874480.0,55702200.0,517.275289,517.275289
STc,4.2e-05,41760000.0,70162.0,0.28,151174995.0,623216.0,70162.0,83521.0,1.190402,0.840052,0.071852,8606.0,,22934475.0,19197690.0,549.197198,549.197198
CS3,5.6e-05,56415000.0,75047.0,0.35,158981769.0,623180.0,75047.0,112831.0,1.503471,0.665127,0.063284,8680.0,,28803855.0,26089950.0,510.570859,510.570859
MI,4.6e-05,45540500.0,168493.0,0.53,85771072.0,623196.0,168493.0,91082.0,0.540568,1.849904,0.019632,8297.0,,24323010.0,20649690.0,534.096244,534.096244
MIP,8.9e-05,88662000.0,46481.0,0.24,372953044.0,623364.0,46481.0,177325.0,3.815,0.262123,0.235991,21469.0,,48544125.0,42432885.0,547.518948,547.518948
MCS,0.000104,103753500.0,272836.0,0.95,109593333.0,623876.0,272836.0,207508.0,0.760559,1.314822,0.355908,8787.0,,71156355.0,73734645.0,685.821249,685.821249
CRm,2.5e-05,25157500.0,53527.0,0.32,79183834.0,623360.0,53527.0,50316.0,0.940012,1.063817,0.033462,9929.0,,15042135.0,12528180.0,597.918513,597.918513
ML2,0.003511,3510514500.0,985504.0,8.21,427564504.0,624276.0,985504.0,7021030.0,7.124304,0.140365,0.851489,8852.0,,2324557590.0,2321267340.0,662.170058,662.170058
CChst,2.7e-05,26817000.0,98996.0,0.33,82236222.0,623220.0,98996.0,53635.0,0.54179,1.845735,0.092051,8873.0,,15032145.0,14036520.0,560.545363,560.545363
MM,0.005939,5938881500.0,3045380.0,22.75,261037276.0,624664.0,3045380.0,11877764.0,3.900257,0.256393,0.299583,8293.0,,3991306740.0,3981140235.0,672.063711,672.063711
ML2st,0.003603,3602768000.0,1051032.0,9.44,381729523.0,624276.0,1051032.0,7205537.0,6.855678,0.145864,0.67234,9634.0,,2641877430.0,2641913325.0,733.291022,733.291022
MC,0.000157,157305000.0,338353.0,1.35,116271834.0,623876.0,338353.0,314611.0,0.929831,1.075465,0.355928,8617.0,,96529725.0,98702820.0,613.646896,613.646896
