Benchmark,simSeconds,simTicks,simInsts,hostSeconds,hostTickRate,hostMemory,simOps,system.cpu.numCycles,system.cpu.cpi,system.cpu.ipc,system.cpu.dcache.demandMissRate::total,system.cpu.idleCycles,system.cpu.tickCycles,system.mem_ctrls.dram.rank0.totalEnergy,system.mem_ctrls.dram.rank1.totalEnergy,system.mem_ctrls.dram.rank0.averagePower,system.mem_ctrls.dram.rank0.averagePower
CCm,2.3e-05,22974500.0,59937.0,0.17,135696445.0,619856.0,59937.0,45950.0,0.766638,1.304396,0.247588,7891.0,,12711870.0,10087140.0,553.303445,553.303445
EM1,1.3e-05,13175000.0,18840.0,0.09,143820984.0,619868.0,18840.0,26351.0,1.398673,0.714963,0.243112,8679.0,,8287140.0,5691570.0,629.004934,629.004934
DPT,3.8e-05,37937500.0,106968.0,0.34,110717532.0,619900.0,106968.0,75876.0,0.709334,1.409774,0.126677,9146.0,,21242730.0,17380980.0,559.940165,559.940165
MIM2,0.00027,269902500.0,105232.0,1.26,214147744.0,620284.0,105232.0,539806.0,5.129675,0.194944,0.981512,9245.0,,210185475.0,214706760.0,778.745936,778.745936
CCl,3.5e-05,35137500.0,119234.0,0.36,98025338.0,619868.0,119234.0,70276.0,0.589396,1.696653,0.092373,9168.0,,18845160.0,16022280.0,536.326147,536.326147
EF,1.5e-05,15144500.0,43438.0,0.14,108117295.0,620024.0,43438.0,30290.0,0.697316,1.434071,0.245797,8447.0,,9119445.0,6448050.0,602.162171,602.162171
STL2,0.000478,477840500.0,309670.0,2.16,221226721.0,620268.0,309670.0,955682.0,3.08613,0.32403,0.989871,10092.0,,402762300.0,402165060.0,842.880208,842.880208
ML2BWst,0.001157,1156833000.0,625067.0,4.86,237896971.0,620276.0,625067.0,2313667.0,3.70147,0.270163,0.970024,10559.0,,1152256545.0,1153994715.0,996.04398,996.04398
CRd,0.017475,17475342500.0,85974021.0,251.16,69579093.0,620008.0,85974021.0,34950686.0,0.406526,2.459866,5.3e-05,9100.0,,8137076580.0,8129569800.0,465.63188,465.63188
MMst,0.006394,6394413000.0,2979849.0,24.99,255833281.0,620532.0,2979849.0,12788827.0,4.29177,0.233004,0.273559,8548.0,,4573556865.0,4570002465.0,715.242645,715.242645
MIM,0.000314,313642500.0,105232.0,1.55,202310876.0,620280.0,105232.0,627286.0,5.960981,0.167758,0.98169,8978.0,,246036210.0,244167375.0,784.44793,784.44793
ED1,4.7e-05,47338500.0,14748.0,0.14,345652726.0,619872.0,14748.0,94679.0,6.419786,0.155768,0.244552,7977.0,,24642585.0,21972300.0,520.561171,520.561171
CCh,0.000667,667278500.0,1182146.0,5.68,117456373.0,620012.0,1182146.0,1334558.0,1.128928,0.885796,0.032133,8715.0,,320797890.0,311072790.0,480.755622,480.755622
CS1,9e-06,9269500.0,8294.0,0.07,132901147.0,619888.0,8294.0,18540.0,2.235351,0.447357,0.155774,8600.0,,6542610.0,4192050.0,705.821242,705.821242
CF1,1.1e-05,11488500.0,14997.0,0.09,125075796.0,619892.0,14997.0,22978.0,1.532173,0.652668,0.104655,9184.0,,7608135.0,5044050.0,662.239196,662.239196
MDyn,0.006344,6344277500.0,4282798.0,31.51,201320688.0,620424.0,4282798.0,12688556.0,2.962679,0.337532,0.999473,11310.0,,4987907430.0,4976891670.0,786.205747,786.205747
STL2b,0.001879,1879243000.0,397486.0,6.0,313302334.0,620252.0,397486.0,3758487.0,9.455646,0.105757,0.991221,10577.0,,1640861475.0,1633137465.0,873.150239,873.150239
ML2BWld,0.001014,1013675500.0,788907.0,5.56,182153340.0,620248.0,788907.0,2027352.0,2.569824,0.389132,0.941537,8473.0,,894592260.0,894752445.0,882.523312,882.523312
MD,7.5e-05,74528500.0,190276.0,0.79,93926173.0,620144.0,190276.0,149058.0,0.783378,1.276523,0.084816,8448.0,,38953230.0,45383160.0,522.662203,522.662203
CRf,3.1e-05,31279000.0,165374.0,0.53,58935402.0,619884.0,165374.0,62559.0,0.378288,2.643489,0.007856,7981.0,,17569215.0,14583720.0,561.693628,561.693628
CCa,2.3e-05,22890000.0,51706.0,0.16,147310223.0,619888.0,51706.0,45781.0,0.88541,1.129421,0.246954,7702.0,,12697005.0,10054500.0,554.696592,554.696592
DP1d,0.000199,198998500.0,293966.0,1.34,148328302.0,620296.0,293966.0,397998.0,1.353891,0.738612,0.143944,8830.0,,104135535.0,101820390.0,523.29809,523.29809
CCe,2.6e-05,25699500.0,76320.0,0.24,106752683.0,619888.0,76320.0,51400.0,0.67348,1.484825,0.038851,8590.0,,14496585.0,11765910.0,564.08043,564.08043
DPTd,2e-05,19614500.0,50186.0,0.18,110732471.0,619904.0,50186.0,39230.0,0.781692,1.279276,0.094675,9888.0,,11803620.0,8796900.0,601.780316,601.780316
EI,1.7e-05,17411000.0,39347.0,0.13,138051735.0,620020.0,39347.0,34823.0,0.885023,1.129914,0.256895,8915.0,,10666830.0,7950660.0,612.6489,612.6489
DPcvt,3.4e-05,33528000.0,33229.0,0.2,170495248.0,620016.0,33229.0,67057.0,2.018026,0.495534,0.126977,8783.0,,19574850.0,15404520.0,583.835898,583.835898
EM5,1.5e-05,14816000.0,35240.0,0.12,123935022.0,619888.0,35240.0,29633.0,0.840891,1.189215,0.242013,7851.0,,8948700.0,6321810.0,603.988931,603.988931
ML2BWldst,0.001159,1159025000.0,821675.0,6.38,181551010.0,620248.0,821675.0,2318051.0,2.821129,0.354468,0.817444,8871.0,,1153916595.0,1156232550.0,995.592498,995.592498
DP1f,0.000104,104150500.0,149953.0,0.68,154007190.0,620144.0,149953.0,208302.0,1.389115,0.719883,0.145062,8961.0,,53874480.0,55702200.0,517.275289,517.275289
STc,4.2e-05,41760000.0,70162.0,0.28,149547769.0,619888.0,70162.0,83521.0,1.190402,0.840052,0.071852,8606.0,,22934475.0,19197690.0,549.197198,549.197198
CS3,5.6e-05,56415000.0,75047.0,0.36,156051226.0,619852.0,75047.0,112831.0,1.503471,0.665127,0.063284,8680.0,,28803855.0,26089950.0,510.570859,510.570859
MI,4.6e-05,45540500.0,168493.0,0.57,80458931.0,619876.0,168493.0,91082.0,0.540568,1.849904,0.019632,8297.0,,24323010.0,20649690.0,534.096244,534.096244
MIP,8.9e-05,88662000.0,46481.0,0.24,366231253.0,620040.0,46481.0,177325.0,3.815,0.262123,0.235991,21469.0,,48544125.0,42432885.0,547.518948,547.518948
MCS,0.000519,519135000.0,272836.0,2.6,199351257.0,620284.0,272836.0,1038271.0,3.805477,0.262779,0.850659,9080.0,,342555720.0,335590185.0,659.858649,659.858649
CRm,2.5e-05,25157500.0,53527.0,0.33,75264220.0,620032.0,53527.0,50316.0,0.940012,1.063817,0.033462,9929.0,,15042135.0,12528180.0,597.918513,597.918513
ML2,0.005411,5410721000.0,1051032.0,13.08,413610907.0,620252.0,1051032.0,10821443.0,10.296017,0.097125,0.778189,9175.0,,3949805340.0,3953581350.0,729.996121,729.996121
CChst,2.7e-05,26817000.0,98996.0,0.33,80867999.0,619892.0,98996.0,53635.0,0.54179,1.845735,0.092051,8873.0,,15032145.0,14036520.0,560.545363,560.545363
MM,0.006394,6394413000.0,2979849.0,24.99,255833281.0,620532.0,2979849.0,12788827.0,4.29177,0.233004,0.273559,8548.0,,4573556865.0,4570002465.0,715.242645,715.242645
ML2st,0.005411,5410721000.0,1051032.0,13.08,413610907.0,620252.0,1051032.0,10821443.0,10.296017,0.097125,0.778189,9175.0,,3949805340.0,3953581350.0,729.996121,729.996121
MC,0.001381,1380647500.0,338353.0,5.63,245096148.0,620292.0,338353.0,2761296.0,8.160992,0.122534,0.873282,8757.0,,1283622165.0,1218582135.0,929.72476,929.72476
