Benchmark,simSeconds,simTicks,simInsts,hostSeconds,hostTickRate,hostMemory,simOps,system.cpu.numCycles,system.cpu.cpi,system.cpu.ipc,system.cpu.dcache.demandMissRate::total,system.cpu.idleCycles,system.cpu.tickCycles,system.mem_ctrls.dram.rank0.totalEnergy,system.mem_ctrls.dram.rank1.totalEnergy,system.mem_ctrls.dram.rank0.averagePower,system.mem_ctrls.dram.rank0.averagePower
CCm,2.3e-05,22974500.0,59937.0,0.17,135805172.0,620828.0,59937.0,45950.0,0.766638,1.304396,0.247588,7891.0,,12711870.0,10087140.0,553.303445,553.303445
EM1,1.3e-05,13175000.0,18840.0,0.08,157504870.0,620844.0,18840.0,26351.0,1.398673,0.714963,0.243112,8679.0,,8287140.0,5691570.0,629.004934,629.004934
DPT,3.8e-05,37937500.0,106968.0,0.34,112444921.0,620872.0,106968.0,75876.0,0.709334,1.409774,0.126677,9146.0,,21242730.0,17380980.0,559.940165,559.940165
MIM2,7.7e-05,76535500.0,105232.0,0.53,145136115.0,621392.0,105232.0,153072.0,1.454615,0.687467,0.659377,8607.0,,57222390.0,55214700.0,747.658146,747.658146
CCl,3.5e-05,35137500.0,119234.0,0.3,117203703.0,620840.0,119234.0,70276.0,0.589396,1.696653,0.092373,9168.0,,18845160.0,16022280.0,536.326147,536.326147
EF,1.5e-05,15144500.0,43438.0,0.14,111442104.0,620980.0,43438.0,30290.0,0.697316,1.434071,0.245797,8447.0,,9119445.0,6448050.0,602.162171,602.162171
STL2,0.000445,445425000.0,309670.0,2.02,220228723.0,621376.0,309670.0,890851.0,2.876775,0.347611,0.986103,9395.0,,369167220.0,368293575.0,828.79771,828.79771
ML2BWst,0.001053,1053043000.0,625067.0,4.32,243817175.0,621520.0,625067.0,2106087.0,3.369378,0.296791,0.951067,10265.0,,1040327130.0,1036906875.0,987.924643,987.924643
CRd,0.017475,17475342500.0,85974021.0,251.74,69416871.0,620984.0,85974021.0,34950686.0,0.406526,2.459866,5.3e-05,9100.0,,8137076580.0,8129569800.0,465.63188,465.63188
MMst,0.006666,6665875000.0,2979849.0,24.17,275776577.0,621760.0,2979849.0,13331751.0,4.473969,0.223515,0.273559,8832.0,,4594724040.0,4594230360.0,689.290459,689.290459
MIM,7.7e-05,76518500.0,105232.0,0.51,149297616.0,621388.0,105232.0,153038.0,1.454291,0.68762,0.659047,8607.0,,57215670.0,55207980.0,747.73643,747.73643
ED1,4.7e-05,47338500.0,14748.0,0.13,365681684.0,620852.0,14748.0,94679.0,6.419786,0.155768,0.244552,7977.0,,24642585.0,21972300.0,520.561171,520.561171
CCh,0.000667,667278500.0,1182146.0,5.34,125036733.0,620996.0,1182146.0,1334558.0,1.128928,0.885796,0.032133,8715.0,,320797890.0,311072790.0,480.755622,480.755622
CS1,9e-06,9269500.0,8294.0,0.07,131106624.0,620856.0,8294.0,18540.0,2.235351,0.447357,0.155774,8600.0,,6542610.0,4192050.0,705.821242,705.821242
CF1,1.1e-05,11488500.0,14997.0,0.09,129128738.0,620864.0,14997.0,22978.0,1.532173,0.652668,0.104655,9184.0,,7608135.0,5044050.0,662.239196,662.239196
MDyn,0.006309,6309100500.0,4282798.0,28.68,220017802.0,621688.0,4282798.0,12618202.0,2.946252,0.339414,0.998045,11229.0,,4953741795.0,4959675900.0,785.174019,785.174019
STL2b,0.001859,1858881000.0,397486.0,5.67,327916703.0,621488.0,397486.0,3717763.0,9.353192,0.106915,0.991228,10041.0,,1624554375.0,1616351535.0,873.942105,873.942105
