Benchmark,simSeconds,simTicks,simInsts,hostSeconds,hostTickRate,hostMemory,simOps,system.cpu.numCycles,system.cpu.cpi,system.cpu.ipc,system.cpu.dcache.demandMissRate::total,system.cpu.idleCycles,system.cpu.tickCycles,system.mem_ctrls.dram.rank0.totalEnergy,system.mem_ctrls.dram.rank1.totalEnergy,system.mem_ctrls.dram.rank0.averagePower,system.mem_ctrls.dram.rank0.averagePower
CCm,2.3e-05,22974500.0,59937.0,0.17,136078798.0,619788.0,59937.0,45950.0,0.766638,1.304396,0.247588,7891.0,,12711870.0,10087140.0,553.303445,553.303445
EM1,1.3e-05,13175000.0,18840.0,0.08,159244299.0,619800.0,18840.0,26351.0,1.398673,0.714963,0.243112,8679.0,,8287140.0,5691570.0,629.004934,629.004934
DPT,3.8e-05,37937500.0,106968.0,0.34,112440974.0,619952.0,106968.0,75876.0,0.709334,1.409774,0.126677,9146.0,,21242730.0,17380980.0,559.940165,559.940165
MIM2,0.00027,270369500.0,105232.0,1.26,213938201.0,620216.0,105232.0,540740.0,5.138551,0.194607,0.981293,9329.0,,211200480.0,214894065.0,781.154975,781.154975
CCl,3.5e-05,35137500.0,119234.0,0.31,114381338.0,619796.0,119234.0,70276.0,0.589396,1.696653,0.092373,9168.0,,18845160.0,16022280.0,536.326147,536.326147
EF,1.5e-05,15144500.0,43438.0,0.14,109657279.0,619940.0,43438.0,30290.0,0.697316,1.434071,0.245797,8447.0,,9119445.0,6448050.0,602.162171,602.162171
STL2,0.000478,477817500.0,309670.0,2.11,226896397.0,620204.0,309670.0,955636.0,3.085982,0.324046,0.990135,9639.0,,401012775.0,399513750.0,839.259288,839.259288
ML2BWst,0.001156,1156352000.0,625067.0,4.59,251659761.0,620208.0,625067.0,2312705.0,3.699931,0.270275,0.970152,10366.0,,1147748655.0,1148219730.0,992.559926,992.559926
CRd,0.017475,17475342500.0,85974021.0,245.66,71137273.0,619940.0,85974021.0,34950686.0,0.406526,2.459866,5.3e-05,9100.0,,8137076580.0,8129569800.0,465.63188,465.63188
MMst,0.006329,6329313000.0,2979849.0,23.97,264092525.0,620472.0,2979849.0,12658627.0,4.248077,0.235401,0.27356,8556.0,,4533126975.0,4531066560.0,716.211534,716.211534
