Benchmark,simSeconds,simTicks,simInsts,hostSeconds,hostTickRate,hostMemory,simOps,system.cpu.numCycles,system.cpu.cpi,system.cpu.ipc,system.cpu.dcache.demandMissRate::total,system.cpu.idleCycles,system.cpu.tickCycles,system.mem_ctrls.dram.rank0.totalEnergy,system.mem_ctrls.dram.rank1.totalEnergy,system.mem_ctrls.dram.rank0.averagePower,system.mem_ctrls.dram.rank0.averagePower
CCm,2.3e-05,22974500.0,59937.0,0.17,136666850.0,623024.0,59937.0,45950.0,0.766638,1.304396,0.247588,7891.0,,12711870.0,10087140.0,553.303445,553.303445
EM1,1.3e-05,13175000.0,18840.0,0.08,157722298.0,623036.0,18840.0,26351.0,1.398673,0.714963,0.243112,8679.0,,8287140.0,5691570.0,629.004934,629.004934
DPT,3.8e-05,37937500.0,106968.0,0.34,112217517.0,623188.0,106968.0,75876.0,0.709334,1.409774,0.126677,9146.0,,21242730.0,17380980.0,559.940165,559.940165
MIM2,7.6e-05,75960500.0,105232.0,0.51,149035426.0,623568.0,105232.0,151922.0,1.443686,0.692671,0.656388,8458.0,,55620435.0,53500770.0,732.228395,732.228395
CCl,3.5e-05,35137500.0,119234.0,0.3,116318118.0,623036.0,119234.0,70276.0,0.589396,1.696653,0.092373,9168.0,,18845160.0,16022280.0,536.326147,536.326147
EF,1.5e-05,15144500.0,43438.0,0.14,110335067.0,623196.0,43438.0,30290.0,0.697316,1.434071,0.245797,8447.0,,9119445.0,6448050.0,602.162171,602.162171
STL2,0.000381,380524500.0,309670.0,1.86,204884185.0,623988.0,309670.0,761050.0,2.457616,0.406898,0.978608,8712.0,,313825425.0,309806415.0,824.718054,824.718054
ML2BWst,0.000815,814954000.0,625067.0,3.67,222241191.0,624148.0,625067.0,1629909.0,2.607575,0.383498,0.906476,10260.0,,796085730.0,790877160.0,976.847442,976.847442
CRd,0.017475,17475342500.0,85974021.0,244.56,71455997.0,623176.0,85974021.0,34950686.0,0.406526,2.459866,5.3e-05,9100.0,,8137076580.0,8129569800.0,465.63188,465.63188
MMst,0.006692,6692289000.0,2979849.0,24.44,273799863.0,624528.0,2979849.0,13384579.0,4.491697,0.222633,0.273526,9509.0,,4576416060.0,4568061195.0,683.834195,683.834195
MIM,7.6e-05,75960500.0,105232.0,0.51,148596045.0,623572.0,105232.0,151922.0,1.443686,0.692671,0.656388,8458.0,,55620435.0,53500770.0,732.228395,732.228395
ED1,4.7e-05,47338500.0,14748.0,0.13,361467879.0,623040.0,14748.0,94679.0,6.419786,0.155768,0.244552,7977.0,,24642585.0,21972300.0,520.561171,520.561171
CCh,0.000667,667278500.0,1182146.0,5.28,126345710.0,623180.0,1182146.0,1334558.0,1.128928,0.885796,0.032133,8715.0,,320797890.0,311072790.0,480.755622,480.755622
CS1,9e-06,9269500.0,8294.0,0.07,132304390.0,623052.0,8294.0,18540.0,2.235351,0.447357,0.155774,8600.0,,6542610.0,4192050.0,705.821242,705.821242
CF1,1.1e-05,11488500.0,14997.0,0.09,129283132.0,623060.0,14997.0,22978.0,1.532173,0.652668,0.104655,9184.0,,7608135.0,5044050.0,662.239196,662.239196
MDyn,0.006287,6287449500.0,4282798.0,28.49,220670026.0,624352.0,4282798.0,12574900.0,2.936141,0.340583,0.99933,11715.0,,4934403810.0,4937188440.0,784.802138,784.802138
STL2b,0.000166,166170000.0,397486.0,1.37,121189801.0,624108.0,397486.0,332341.0,0.836107,1.196019,0.497609,9307.0,,119655975.0,114433770.0,720.081693,720.081693
ML2BWld,0.000773,772855500.0,788907.0,4.39,175856941.0,624112.0,788907.0,1545712.0,1.959308,0.510384,0.811087,8490.0,,698028120.0,696483270.0,903.180633,903.180633
MD,7.5e-05,74528500.0,190276.0,0.78,95534763.0,623312.0,190276.0,149058.0,0.783378,1.276523,0.084816,8448.0,,38953230.0,45383160.0,522.662203,522.662203
CRf,3.1e-05,31279000.0,165374.0,0.51,61823537.0,623052.0,165374.0,62559.0,0.378288,2.643489,0.007856,7981.0,,17569215.0,14583720.0,561.693628,561.693628
CCa,2.3e-05,22890000.0,51706.0,0.15,149887646.0,623056.0,51706.0,45781.0,0.88541,1.129421,0.246954,7702.0,,12697005.0,10054500.0,554.696592,554.696592
DP1d,0.000199,198762500.0,293966.0,1.27,156934865.0,623312.0,293966.0,397526.0,1.352286,0.739489,0.143769,8582.0,,103961910.0,101416770.0,523.045896,523.045896
CCe,2.6e-05,25699500.0,76320.0,0.22,115235117.0,623056.0,76320.0,51400.0,0.67348,1.484825,0.038851,8590.0,,14496585.0,11765910.0,564.08043,564.08043
DPTd,2e-05,19614500.0,50186.0,0.17,114643395.0,623068.0,50186.0,39230.0,0.781692,1.279276,0.094675,9888.0,,11803620.0,8796900.0,601.780316,601.780316
EI,1.7e-05,17411000.0,39347.0,0.12,140760782.0,623188.0,39347.0,34823.0,0.885023,1.129914,0.256895,8915.0,,10666830.0,7950660.0,612.6489,612.6489
DPcvt,3.4e-05,33528000.0,33229.0,0.19,177284659.0,623168.0,33229.0,67057.0,2.018026,0.495534,0.126977,8783.0,,19574850.0,15404520.0,583.835898,583.835898
EM5,1.5e-05,14816000.0,35240.0,0.12,125812109.0,623020.0,35240.0,29633.0,0.840891,1.189215,0.242013,7851.0,,8948700.0,6321810.0,603.988931,603.988931
ML2BWldst,0.000829,828938000.0,821675.0,4.96,166961842.0,624108.0,821675.0,1657877.0,2.01768,0.495619,0.709234,10288.0,,802691310.0,801345285.0,968.336969,968.336969
DP1f,0.000104,104150500.0,149953.0,0.66,157375627.0,623312.0,149953.0,208302.0,1.389115,0.719883,0.145062,8961.0,,53874480.0,55702200.0,517.275289,517.275289
STc,4.2e-05,41760000.0,70162.0,0.27,151860711.0,623056.0,70162.0,83521.0,1.190402,0.840052,0.071852,8606.0,,22934475.0,19197690.0,549.197198,549.197198
CS3,5.6e-05,56415000.0,75047.0,0.35,163121523.0,623024.0,75047.0,112831.0,1.503471,0.665127,0.063284,8680.0,,28803855.0,26089950.0,510.570859,510.570859
MI,4.6e-05,45540500.0,168493.0,0.53,85814684.0,623036.0,168493.0,91082.0,0.540568,1.849904,0.019632,8297.0,,24323010.0,20649690.0,534.096244,534.096244
MIP,8.9e-05,88662000.0,46481.0,0.24,372208802.0,623204.0,46481.0,177325.0,3.815,0.262123,0.235991,21469.0,,48544125.0,42432885.0,547.518948,547.518948
MCS,0.000104,103753500.0,272836.0,1.0,103940727.0,623716.0,272836.0,207508.0,0.760559,1.314822,0.355908,8787.0,,71156355.0,73734645.0,685.821249,685.821249
CRm,2.5e-05,25157500.0,53527.0,0.32,79447376.0,623204.0,53527.0,50316.0,0.940012,1.063817,0.033462,9929.0,,15042135.0,12528180.0,597.918513,597.918513
ML2,0.003546,3545743500.0,985504.0,8.32,426372826.0,624132.0,985504.0,7091488.0,7.195798,0.13897,0.85356,9461.0,,2346208080.0,2342966475.0,661.697069,661.697069
