Benchmark,simSeconds,simTicks,simInsts,hostSeconds,hostTickRate,hostMemory,simOps,system.cpu.numCycles,system.cpu.cpi,system.cpu.ipc,system.cpu.dcache.demandMissRate::total,system.cpu.idleCycles,system.cpu.tickCycles,system.mem_ctrls.dram.rank0.totalEnergy,system.mem_ctrls.dram.rank1.totalEnergy,system.mem_ctrls.dram.rank0.averagePower,system.mem_ctrls.dram.rank0.averagePower
CCm,2.3e-05,22974500.0,59937.0,0.17,135989853.0,620848.0,59937.0,45950.0,0.766638,1.304396,0.247588,7891.0,,12711870.0,10087140.0,553.303445,553.303445
EM1,1.3e-05,13175000.0,18840.0,0.08,155637506.0,620864.0,18840.0,26351.0,1.398673,0.714963,0.243112,8679.0,,8287140.0,5691570.0,629.004934,629.004934
DPT,3.8e-05,37937500.0,106968.0,0.35,109782216.0,621016.0,106968.0,75876.0,0.709334,1.409774,0.126677,9146.0,,21242730.0,17380980.0,559.940165,559.940165
MIM2,7.7e-05,76584500.0,105232.0,0.51,149834151.0,621408.0,105232.0,153170.0,1.455546,0.687027,0.65814,8629.0,,56948805.0,55035975.0,743.607453,743.607453
CCl,3.5e-05,35137500.0,119234.0,0.3,115843349.0,620856.0,119234.0,70276.0,0.589396,1.696653,0.092373,9168.0,,18845160.0,16022280.0,536.326147,536.326147
EF,1.5e-05,15144500.0,43438.0,0.14,108843731.0,621016.0,43438.0,30290.0,0.697316,1.434071,0.245797,8447.0,,9119445.0,6448050.0,602.162171,602.162171
STL2,0.000446,445528000.0,309670.0,2.04,218735802.0,621380.0,309670.0,891057.0,2.877441,0.347531,0.986241,9196.0,,371022975.0,369235920.0,832.771397,832.771397
ML2BWst,0.001053,1052879000.0,625067.0,4.32,243517876.0,621532.0,625067.0,2105759.0,3.368853,0.296837,0.951088,10031.0,,1042286310.0,1039402755.0,989.939309,989.939309
CRd,0.017475,17475342500.0,85974021.0,248.68,70271917.0,620880.0,85974021.0,34950686.0,0.406526,2.459866,5.3e-05,9100.0,,8137076580.0,8129569800.0,465.63188,465.63188
MIM,7.7e-05,76531500.0,105232.0,0.52,148135561.0,621372.0,105232.0,153064.0,1.454539,0.687503,0.657922,8609.0,,56847000.0,55020000.0,742.792184,742.792184
ED1,4.7e-05,47338500.0,14748.0,0.13,358637954.0,620864.0,14748.0,94679.0,6.419786,0.155768,0.244552,7977.0,,24642585.0,21972300.0,520.561171,520.561171
CCh,0.000667,667278500.0,1182146.0,5.41,123292181.0,621012.0,1182146.0,1334558.0,1.128928,0.885796,0.032133,8715.0,,320797890.0,311072790.0,480.755622,480.755622
CS1,9e-06,9269500.0,8294.0,0.07,130351858.0,620876.0,8294.0,18540.0,2.235351,0.447357,0.155774,8600.0,,6542610.0,4192050.0,705.821242,705.821242
CF1,1.1e-05,11488500.0,14997.0,0.09,128825448.0,620880.0,14997.0,22978.0,1.532173,0.652668,0.104655,9184.0,,7608135.0,5044050.0,662.239196,662.239196
MDyn,0.006321,6320963500.0,4282798.0,28.61,220908299.0,621708.0,4282798.0,12641928.0,2.951792,0.338777,0.998983,11278.0,,4959341010.0,4965201255.0,784.586244,784.586244
