Benchmark,simSeconds,simTicks,simInsts,hostSeconds,hostTickRate,hostMemory,simOps,system.cpu.numCycles,system.cpu.cpi,system.cpu.ipc,system.cpu.dcache.demandMissRate::total,system.cpu.idleCycles,system.cpu.tickCycles,system.mem_ctrls.dram.rank0.totalEnergy,system.mem_ctrls.dram.rank1.totalEnergy,system.mem_ctrls.dram.rank0.averagePower,system.mem_ctrls.dram.rank0.averagePower
CCm,2.3e-05,22974500.0,59937.0,0.17,135593690.0,622904.0,59937.0,45950.0,0.766638,1.304396,0.247588,7891.0,,12711870.0,10087140.0,553.303445,553.303445
EM1,1.3e-05,13175000.0,18840.0,0.08,158417905.0,622920.0,18840.0,26351.0,1.398673,0.714963,0.243112,8679.0,,8287140.0,5691570.0,629.004934,629.004934
DPT,3.8e-05,37937500.0,106968.0,0.34,110785752.0,623068.0,106968.0,75876.0,0.709334,1.409774,0.126677,9146.0,,21242730.0,17380980.0,559.940165,559.940165
MIM2,7.6e-05,75960500.0,105232.0,0.51,148562491.0,623452.0,105232.0,151922.0,1.443686,0.692671,0.656388,8458.0,,55620435.0,53500770.0,732.228395,732.228395
CCl,3.5e-05,35137500.0,119234.0,0.31,114879461.0,622916.0,119234.0,70276.0,0.589396,1.696653,0.092373,9168.0,,18845160.0,16022280.0,536.326147,536.326147
EF,1.5e-05,15144500.0,43438.0,0.14,110750671.0,623056.0,43438.0,30290.0,0.697316,1.434071,0.245797,8447.0,,9119445.0,6448050.0,602.162171,602.162171
STL2,0.000381,380514000.0,309670.0,1.86,204982926.0,623880.0,309670.0,761029.0,2.457548,0.40691,0.978676,8406.0,,309849510.0,309288660.0,814.29201,814.29201
ML2BWst,0.000821,821019000.0,625067.0,3.7,221665092.0,623996.0,625067.0,1642039.0,2.626981,0.380665,0.908114,10299.0,,794382135.0,791893650.0,967.556335,967.556335
CRd,0.017475,17475342500.0,85974021.0,242.43,72085548.0,623060.0,85974021.0,34950686.0,0.406526,2.459866,5.3e-05,9100.0,,8137076580.0,8129569800.0,465.63188,465.63188
MMst,0.00667,6669724000.0,2979849.0,24.1,276730427.0,624392.0,2979849.0,13339449.0,4.476552,0.223386,0.27356,8896.0,,4609681875.0,4604459880.0,691.135327,691.135327
MIM,7.6e-05,75960500.0,105232.0,0.51,149349301.0,623448.0,105232.0,151922.0,1.443686,0.692671,0.656388,8458.0,,55620435.0,53500770.0,732.228395,732.228395
ED1,4.7e-05,47338500.0,14748.0,0.13,361394845.0,622928.0,14748.0,94679.0,6.419786,0.155768,0.244552,7977.0,,24642585.0,21972300.0,520.561171,520.561171
CCh,0.000667,667278500.0,1182146.0,5.4,123585483.0,623060.0,1182146.0,1334558.0,1.128928,0.885796,0.032133,8715.0,,320797890.0,311072790.0,480.755622,480.755622
CS1,9e-06,9269500.0,8294.0,0.07,131560418.0,622932.0,8294.0,18540.0,2.235351,0.447357,0.155774,8600.0,,6542610.0,4192050.0,705.821242,705.821242
CF1,1.1e-05,11488500.0,14997.0,0.09,129798224.0,622940.0,14997.0,22978.0,1.532173,0.652668,0.104655,9184.0,,7608135.0,5044050.0,662.239196,662.239196
MDyn,0.006272,6272196500.0,4282798.0,28.47,220295796.0,624244.0,4282798.0,12544394.0,2.929018,0.341411,0.998047,11234.0,,4927064550.0,4930710240.0,785.540528,785.540528
STL2b,0.000167,166505000.0,397486.0,1.4,118842074.0,623996.0,397486.0,333011.0,0.837793,1.193612,0.498141,9094.0,,119711295.0,116072535.0,718.965166,718.965166
ML2BWld,0.000777,777300500.0,788907.0,4.41,176267169.0,623980.0,788907.0,1554602.0,1.970577,0.507466,0.813476,7871.0,,697038090.0,696954195.0,896.742109,896.742109
MD,7.5e-05,74528500.0,190276.0,0.79,94812167.0,623192.0,190276.0,149058.0,0.783378,1.276523,0.084816,8448.0,,38953230.0,45383160.0,522.662203,522.662203
CRf,3.1e-05,31279000.0,165374.0,0.52,60686971.0,622932.0,165374.0,62559.0,0.378288,2.643489,0.007856,7981.0,,17569215.0,14583720.0,561.693628,561.693628
CCa,2.3e-05,22890000.0,51706.0,0.16,146637241.0,622936.0,51706.0,45781.0,0.88541,1.129421,0.246954,7702.0,,12697005.0,10054500.0,554.696592,554.696592
DP1d,0.000199,198762500.0,293966.0,1.28,155661090.0,623196.0,293966.0,397526.0,1.352286,0.739489,0.143769,8582.0,,103961910.0,101416770.0,523.045896,523.045896
CCe,2.6e-05,25699500.0,76320.0,0.23,113690052.0,622936.0,76320.0,51400.0,0.67348,1.484825,0.038851,8590.0,,14496585.0,11765910.0,564.08043,564.08043
DPTd,2e-05,19614500.0,50186.0,0.17,113372609.0,622956.0,50186.0,39230.0,0.781692,1.279276,0.094675,9888.0,,11803620.0,8796900.0,601.780316,601.780316
EI,1.7e-05,17411000.0,39347.0,0.12,140297716.0,623064.0,39347.0,34823.0,0.885023,1.129914,0.256895,8915.0,,10666830.0,7950660.0,612.6489,612.6489
DPcvt,3.4e-05,33528000.0,33229.0,0.19,178040188.0,623068.0,33229.0,67057.0,2.018026,0.495534,0.126977,8783.0,,19574850.0,15404520.0,583.835898,583.835898
EM5,1.5e-05,14816000.0,35240.0,0.12,123293749.0,622900.0,35240.0,29633.0,0.840891,1.189215,0.242013,7851.0,,8948700.0,6321810.0,603.988931,603.988931
ML2BWldst,0.000834,833617000.0,821675.0,5.08,164043837.0,623988.0,821675.0,1667235.0,2.029069,0.492837,0.711313,9997.0,,800573940.0,801985140.0,960.361821,960.361821
DP1f,0.000104,104150500.0,149953.0,0.67,154717957.0,623196.0,149953.0,208302.0,1.389115,0.719883,0.145062,8961.0,,53874480.0,55702200.0,517.275289,517.275289
STc,4.2e-05,41760000.0,70162.0,0.28,146643653.0,623060.0,70162.0,83521.0,1.190402,0.840052,0.071852,8606.0,,22934475.0,19197690.0,549.197198,549.197198
CS3,5.6e-05,56415000.0,75047.0,0.35,162083060.0,622900.0,75047.0,112831.0,1.503471,0.665127,0.063284,8680.0,,28803855.0,26089950.0,510.570859,510.570859
