Benchmark,simSeconds,simTicks,simInsts,hostSeconds,hostTickRate,hostMemory,simOps,system.cpu.numCycles,system.cpu.cpi,system.cpu.ipc,system.cpu.dcache.demandMissRate::total,system.cpu.idleCycles,system.cpu.tickCycles,system.mem_ctrls.dram.rank0.totalEnergy,system.mem_ctrls.dram.rank1.totalEnergy,system.mem_ctrls.dram.rank0.averagePower,system.mem_ctrls.dram.rank0.averagePower
CCm,2.3e-05,22974500.0,59937.0,0.17,134614198.0,619796.0,59937.0,45950.0,0.766638,1.304396,0.247588,7891.0,,12711870.0,10087140.0,553.303445,553.303445
EM1,1.3e-05,13175000.0,18840.0,0.09,153740141.0,619812.0,18840.0,26351.0,1.398673,0.714963,0.243112,8679.0,,8287140.0,5691570.0,629.004934,629.004934
DPT,3.8e-05,37937500.0,106968.0,0.34,112181386.0,619964.0,106968.0,75876.0,0.709334,1.409774,0.126677,9146.0,,21242730.0,17380980.0,559.940165,559.940165
MIM2,0.000271,270942500.0,105232.0,1.25,216266067.0,620224.0,105232.0,541886.0,5.149441,0.194196,0.98167,9245.0,,211778190.0,215211975.0,781.635181,781.635181
CCl,3.5e-05,35137500.0,119234.0,0.3,115660352.0,619804.0,119234.0,70276.0,0.589396,1.696653,0.092373,9168.0,,18845160.0,16022280.0,536.326147,536.326147
EF,1.5e-05,15144500.0,43438.0,0.14,111257968.0,619964.0,43438.0,30290.0,0.697316,1.434071,0.245797,8447.0,,9119445.0,6448050.0,602.162171,602.162171
STL2,0.000479,478528500.0,309670.0,2.14,223420966.0,620212.0,309670.0,957058.0,3.090574,0.323565,0.990186,9875.0,,402359565.0,400542540.0,840.826753,840.826753
ML2BWst,0.001158,1158099000.0,625067.0,4.68,247261068.0,620220.0,625067.0,2316199.0,3.705521,0.269868,0.970236,10438.0,,1150138680.0,1150520625.0,993.126391,993.126391
CRd,0.017475,17475342500.0,85974021.0,248.7,70265868.0,619828.0,85974021.0,34950686.0,0.406526,2.459866,5.3e-05,9100.0,,8137076580.0,8129569800.0,465.63188,465.63188
MMst,0.006357,6356643000.0,2979849.0,23.99,264929362.0,620480.0,2979849.0,12713287.0,4.26642,0.234389,0.273558,8964.0,,4551989940.0,4549123800.0,716.099668,716.099668
MIM,0.000313,313112000.0,105232.0,1.45,216248236.0,620216.0,105232.0,626225.0,5.950899,0.168042,0.98171,9048.0,,246639495.0,245346555.0,787.703745,787.703745
ED1,4.7e-05,47338500.0,14748.0,0.13,358898878.0,619812.0,14748.0,94679.0,6.419786,0.155768,0.244552,7977.0,,24642585.0,21972300.0,520.561171,520.561171
CCh,0.000667,667278500.0,1182146.0,5.44,122730681.0,619960.0,1182146.0,1334558.0,1.128928,0.885796,0.032133,8715.0,,320797890.0,311072790.0,480.755622,480.755622
CS1,9e-06,9269500.0,8294.0,0.07,130054310.0,619824.0,8294.0,18540.0,2.235351,0.447357,0.155774,8600.0,,6542610.0,4192050.0,705.821242,705.821242
CF1,1.1e-05,11488500.0,14997.0,0.09,128827997.0,619828.0,14997.0,22978.0,1.532173,0.652668,0.104655,9184.0,,7608135.0,5044050.0,662.239196,662.239196
MDyn,0.00634,6340188500.0,4282798.0,28.69,220972383.0,620376.0,4282798.0,12680378.0,2.96077,0.33775,0.998984,11214.0,,4987359585.0,4974942900.0,786.626389,786.626389
STL2b,0.001879,1878891000.0,397486.0,5.86,320692824.0,620192.0,397486.0,3757783.0,9.453875,0.105777,0.991221,10624.0,,1640771385.0,1632749700.0,873.265871,873.265871
ML2BWld,0.001012,1012063500.0,788907.0,5.29,191157966.0,620204.0,788907.0,2024128.0,2.565737,0.389752,0.941944,8000.0,,892064100.0,893749410.0,881.430958,881.430958
MD,7.5e-05,74528500.0,190276.0,0.78,95397305.0,620080.0,190276.0,149058.0,0.783378,1.276523,0.084816,8448.0,,38953230.0,45383160.0,522.662203,522.662203
CRf,3.1e-05,31279000.0,165374.0,0.52,60730455.0,619820.0,165374.0,62559.0,0.378288,2.643489,0.007856,7981.0,,17569215.0,14583720.0,561.693628,561.693628
CCa,2.3e-05,22890000.0,51706.0,0.15,148144026.0,619828.0,51706.0,45781.0,0.88541,1.129421,0.246954,7702.0,,12697005.0,10054500.0,554.696592,554.696592
DP1d,0.000199,199221000.0,293966.0,1.28,155100204.0,620232.0,293966.0,398443.0,1.355405,0.737787,0.144336,9273.0,,104394690.0,101975205.0,524.014486,524.014486
CCe,2.6e-05,25699500.0,76320.0,0.23,113123004.0,619828.0,76320.0,51400.0,0.67348,1.484825,0.038851,8590.0,,14496585.0,11765910.0,564.08043,564.08043
DPTd,2e-05,19614500.0,50186.0,0.17,113939403.0,619844.0,50186.0,39230.0,0.781692,1.279276,0.094675,9888.0,,11803620.0,8796900.0,601.780316,601.780316
EI,1.7e-05,17411000.0,39347.0,0.12,140139203.0,619956.0,39347.0,34823.0,0.885023,1.129914,0.256895,8915.0,,10666830.0,7950660.0,612.6489,612.6489
DPcvt,3.4e-05,33528000.0,33229.0,0.19,177567982.0,619940.0,33229.0,67057.0,2.018026,0.495534,0.126977,8783.0,,19574850.0,15404520.0,583.835898,583.835898
EM5,1.5e-05,14816000.0,35240.0,0.12,125343783.0,619792.0,35240.0,29633.0,0.840891,1.189215,0.242013,7851.0,,8948700.0,6321810.0,603.988931,603.988931
ML2BWldst,0.001158,1157687000.0,821675.0,6.13,188803992.0,620220.0,821675.0,2315375.0,2.817872,0.354878,0.817765,9502.0,,1150516875.0,1150930290.0,993.806508,993.806508
DP1f,0.000104,104150500.0,149953.0,0.67,155470391.0,620084.0,149953.0,208302.0,1.389115,0.719883,0.145062,8961.0,,53874480.0,55702200.0,517.275289,517.275289
STc,4.2e-05,41760000.0,70162.0,0.28,146661745.0,619952.0,70162.0,83521.0,1.190402,0.840052,0.071852,8606.0,,22934475.0,19197690.0,549.197198,549.197198
CS3,5.6e-05,56415000.0,75047.0,0.35,161026689.0,619792.0,75047.0,112831.0,1.503471,0.665127,0.063284,8680.0,,28803855.0,26089950.0,510.570859,510.570859
