Benchmark,simSeconds,simTicks,simInsts,hostSeconds,hostTickRate,hostMemory,simOps,system.cpu.numCycles,system.cpu.cpi,system.cpu.ipc,system.cpu.dcache.demandMissRate::total,system.cpu.idleCycles,system.cpu.tickCycles,system.mem_ctrls.dram.rank0.totalEnergy,system.mem_ctrls.dram.rank1.totalEnergy,system.mem_ctrls.dram.rank0.averagePower,system.mem_ctrls.dram.rank0.averagePower
CCm,2.3e-05,22974500.0,59937.0,0.17,134609476.0,620968.0,59937.0,45950.0,0.766638,1.304396,0.247588,7891.0,,12711870.0,10087140.0,553.303445,553.303445
EM1,1.3e-05,13175000.0,18840.0,0.08,156077839.0,620980.0,18840.0,26351.0,1.398673,0.714963,0.243112,8679.0,,8287140.0,5691570.0,629.004934,629.004934
DPT,3.8e-05,37937500.0,106968.0,0.35,107623859.0,621012.0,106968.0,75876.0,0.709334,1.409774,0.126677,9146.0,,21242730.0,17380980.0,559.940165,559.940165
MIM2,7.6e-05,76261500.0,105232.0,0.51,149648877.0,621528.0,105232.0,152524.0,1.449407,0.689937,0.657281,8583.0,,56722935.0,53616450.0,743.795165,743.795165
CCl,3.5e-05,35137500.0,119234.0,0.3,116442876.0,620980.0,119234.0,70276.0,0.589396,1.696653,0.092373,9168.0,,18845160.0,16022280.0,536.326147,536.326147
EF,1.5e-05,15144500.0,43438.0,0.14,111339020.0,621136.0,43438.0,30290.0,0.697316,1.434071,0.245797,8447.0,,9119445.0,6448050.0,602.162171,602.162171
STL2,0.000446,445926500.0,309670.0,2.04,219097650.0,621504.0,309670.0,891854.0,2.880014,0.347221,0.986307,9345.0,,375241440.0,371411505.0,841.487196,841.487196
ML2BWst,0.001049,1049421000.0,625067.0,4.61,227875629.0,621632.0,625067.0,2098843.0,3.357789,0.297815,0.950138,10362.0,,1043234115.0,1041050880.0,994.104478,994.104478
CRd,0.017475,17475342500.0,85974021.0,244.99,71330998.0,621120.0,85974021.0,34950686.0,0.406526,2.459866,5.3e-05,9100.0,,8137076580.0,8129569800.0,465.63188,465.63188
MMst,0.006692,6691677000.0,2979849.0,25.3,264458076.0,621900.0,2979849.0,13383355.0,4.491286,0.222653,0.273524,9150.0,,4574782395.0,4564692240.0,683.652602,683.652602
MIM,7.6e-05,76261500.0,105232.0,0.52,145930453.0,621528.0,105232.0,152524.0,1.449407,0.689937,0.657241,8583.0,,56722935.0,53616450.0,743.795165,743.795165
ED1,4.7e-05,47338500.0,14748.0,0.13,357671088.0,620984.0,14748.0,94679.0,6.419786,0.155768,0.244552,7977.0,,24642585.0,21972300.0,520.561171,520.561171
CCh,0.000667,667278500.0,1182146.0,5.46,122299629.0,621124.0,1182146.0,1334558.0,1.128928,0.885796,0.032133,8715.0,,320797890.0,311072790.0,480.755622,480.755622
CS1,9e-06,9269500.0,8294.0,0.07,130792022.0,621000.0,8294.0,18540.0,2.235351,0.447357,0.155774,8600.0,,6542610.0,4192050.0,705.821242,705.821242
CF1,1.1e-05,11488500.0,14997.0,0.09,128963461.0,621004.0,14997.0,22978.0,1.532173,0.652668,0.104655,9184.0,,7608135.0,5044050.0,662.239196,662.239196
MDyn,0.006326,6325701500.0,4282798.0,29.93,211322728.0,621836.0,4282798.0,12651404.0,2.954004,0.338524,0.999473,11604.0,,4961571165.0,4966756710.0,784.351137,784.351137
STL2b,0.00186,1860330000.0,397486.0,5.65,329313003.0,621656.0,397486.0,3720661.0,9.360483,0.106832,0.991251,9506.0,,1625448510.0,1617392655.0,873.74203,873.74203
ML2BWld,0.000933,933075500.0,788907.0,5.35,174291713.0,621644.0,788907.0,1866152.0,2.36549,0.422745,0.900652,7895.0,,830219685.0,829640805.0,889.766889,889.766889
MD,7.5e-05,74528500.0,190276.0,0.78,95162296.0,621256.0,190276.0,149058.0,0.783378,1.276523,0.084816,8448.0,,38953230.0,45383160.0,522.662203,522.662203
CRf,3.1e-05,31279000.0,165374.0,0.52,60130434.0,620996.0,165374.0,62559.0,0.378288,2.643489,0.007856,7981.0,,17569215.0,14583720.0,561.693628,561.693628
CCa,2.3e-05,22890000.0,51706.0,0.15,148458415.0,621000.0,51706.0,45781.0,0.88541,1.129421,0.246954,7702.0,,12697005.0,10054500.0,554.696592,554.696592
DP1d,0.000199,198762500.0,293966.0,1.32,150989652.0,621256.0,293966.0,397526.0,1.352286,0.739489,0.143769,8582.0,,103961910.0,101416770.0,523.045896,523.045896
CCe,2.6e-05,25699500.0,76320.0,0.28,92808276.0,621000.0,76320.0,51400.0,0.67348,1.484825,0.038851,8590.0,,14496585.0,11765910.0,564.08043,564.08043
DPTd,2e-05,19614500.0,50186.0,0.17,112281691.0,621016.0,50186.0,39230.0,0.781692,1.279276,0.094675,9888.0,,11803620.0,8796900.0,601.780316,601.780316
EI,1.7e-05,17411000.0,39347.0,0.13,138344176.0,621132.0,39347.0,34823.0,0.885023,1.129914,0.256895,8915.0,,10666830.0,7950660.0,612.6489,612.6489
DPcvt,3.4e-05,33528000.0,33229.0,0.19,177413899.0,621128.0,33229.0,67057.0,2.018026,0.495534,0.126977,8783.0,,19574850.0,15404520.0,583.835898,583.835898
EM5,1.5e-05,14816000.0,35240.0,0.12,126369996.0,621000.0,35240.0,29633.0,0.840891,1.189215,0.242013,7851.0,,8948700.0,6321810.0,603.988931,603.988931
ML2BWldst,0.001048,1047996000.0,821675.0,5.75,182309952.0,621656.0,821675.0,2095993.0,2.550878,0.392022,0.784653,9574.0,,1040632800.0,1040897310.0,992.974019,992.974019
DP1f,0.000104,104150500.0,149953.0,0.68,153389024.0,621256.0,149953.0,208302.0,1.389115,0.719883,0.145062,8961.0,,53874480.0,55702200.0,517.275289,517.275289
STc,4.2e-05,41760000.0,70162.0,0.29,146413620.0,621000.0,70162.0,83521.0,1.190402,0.840052,0.071852,8606.0,,22934475.0,19197690.0,549.197198,549.197198
CS3,5.6e-05,56415000.0,75047.0,0.36,158487763.0,620964.0,75047.0,112831.0,1.503471,0.665127,0.063284,8680.0,,28803855.0,26089950.0,510.570859,510.570859
MI,4.6e-05,45540500.0,168493.0,0.54,84691268.0,620980.0,168493.0,91082.0,0.540568,1.849904,0.019632,8297.0,,24323010.0,20649690.0,534.096244,534.096244
MIP,8.9e-05,88662000.0,46481.0,0.25,358723181.0,621152.0,46481.0,177325.0,3.815,0.262123,0.235991,21469.0,,48544125.0,42432885.0,547.518948,547.518948
MCS,0.000151,150830000.0,272836.0,1.19,127211957.0,621664.0,272836.0,301661.0,1.10565,0.904446,0.43189,9889.0,,95945970.0,101095950.0,636.119936,636.119936
CRm,2.5e-05,25157500.0,53527.0,0.32,78270551.0,621144.0,53527.0,50316.0,0.940012,1.063817,0.033462,9929.0,,15042135.0,12528180.0,597.918513,597.918513
ML2,0.004674,4673771500.0,985504.0,10.19,458519299.0,621640.0,985504.0,9347544.0,9.485039,0.105429,0.925882,9892.0,,3056254230.0,3053044605.0,653.916057,653.916057
CChst,2.7e-05,26817000.0,98996.0,0.33,81310549.0,621004.0,98996.0,53635.0,0.54179,1.845735,0.092051,8873.0,,15032145.0,14036520.0,560.545363,560.545363
MM,0.005937,5936721500.0,3045380.0,22.93,258915688.0,621904.0,3045380.0,11873444.0,3.898838,0.256487,0.299545,8857.0,,3990611700.0,3982084065.0,672.191158,672.191158
ML2st,0.004843,4842636000.0,1051032.0,11.75,411987193.0,621656.0,1051032.0,9685273.0,9.215012,0.108519,0.744689,9698.0,,3546625230.0,3548026845.0,732.374936,732.374936
MC,0.000244,244293500.0,338353.0,1.6,152984347.0,621660.0,338353.0,488588.0,1.444019,0.692512,0.43478,9307.0,,174393840.0,144891240.0,713.87016,713.87016
