Benchmark,simSeconds,simTicks,simInsts,hostSeconds,hostTickRate,hostMemory,simOps,system.cpu.numCycles,system.cpu.cpi,system.cpu.ipc,system.cpu.dcache.demandMissRate::total,system.cpu.idleCycles,system.cpu.tickCycles,system.mem_ctrls.dram.rank0.totalEnergy,system.mem_ctrls.dram.rank1.totalEnergy,system.mem_ctrls.dram.rank0.averagePower,system.mem_ctrls.dram.rank0.averagePower
CCm,2.3e-05,22974500.0,59937.0,0.17,135981247.0,622944.0,59937.0,45950.0,0.766638,1.304396,0.247588,7891.0,,12711870.0,10087140.0,553.303445,553.303445
EM1,1.3e-05,13175000.0,18840.0,0.08,157893323.0,622960.0,18840.0,26351.0,1.398673,0.714963,0.243112,8679.0,,8287140.0,5691570.0,629.004934,629.004934
DPT,3.8e-05,37937500.0,106968.0,0.34,110349594.0,623112.0,106968.0,75876.0,0.709334,1.409774,0.126677,9146.0,,21242730.0,17380980.0,559.940165,559.940165
MIM2,7.6e-05,75960500.0,105232.0,0.5,150450309.0,623488.0,105232.0,151922.0,1.443686,0.692671,0.656388,8458.0,,55620435.0,53500770.0,732.228395,732.228395
CCl,3.5e-05,35137500.0,119234.0,0.3,117457583.0,622952.0,119234.0,70276.0,0.589396,1.696653,0.092373,9168.0,,18845160.0,16022280.0,536.326147,536.326147
EF,1.5e-05,15144500.0,43438.0,0.14,109536717.0,623112.0,43438.0,30290.0,0.697316,1.434071,0.245797,8447.0,,9119445.0,6448050.0,602.162171,602.162171
STL2,0.000381,380850500.0,309670.0,1.86,204845141.0,623908.0,309670.0,761702.0,2.459722,0.40655,0.978798,8625.0,,310958580.0,310542390.0,816.484631,816.484631
ML2BWst,0.000817,816937000.0,625067.0,3.7,220566888.0,624068.0,625067.0,1633875.0,2.61392,0.382567,0.907201,9366.0,,791446140.0,791500200.0,968.797031,968.797031
CRd,0.017475,17475342500.0,85974021.0,241.98,72219145.0,622976.0,85974021.0,34950686.0,0.406526,2.459866,5.3e-05,9100.0,,8137076580.0,8129569800.0,465.63188,465.63188
MMst,0.006671,6670857000.0,2979849.0,24.34,274042538.0,624448.0,2979849.0,13341715.0,4.477312,0.223348,0.273558,8286.0,,4583117070.0,4579370700.0,687.035724,687.035724
MIM,7.6e-05,75960500.0,105232.0,0.52,147413891.0,623488.0,105232.0,151922.0,1.443686,0.692671,0.656388,8458.0,,55620435.0,53500770.0,732.228395,732.228395
ED1,4.7e-05,47338500.0,14748.0,0.13,357007822.0,622960.0,14748.0,94679.0,6.419786,0.155768,0.244552,7977.0,,24642585.0,21972300.0,520.561171,520.561171
